Individual ID	Gender	Population	SuperPop
HG01184	female	PUR	AMR
HG01187	male	PUR	AMR
HG01188	female	PUR	AMR
HG01189	male	PUR	AMR
HG01190	male	PUR	AMR
HG01191	female	PUR	AMR
HG01192	male	PUR	AMR
HG01195	female	PUR	AMR
HG01197	male	PUR	AMR
HG01198	female	PUR	AMR
HG01199	male	PUR	AMR
HG01200	male	PUR	AMR
HG01204	male	PUR	AMR
HG01205	female	PUR	AMR
HG01206	male	PUR	AMR
HG01241	male	PUR	AMR
HG01242	female	PUR	AMR
HG01243	male	PUR	AMR
HG01247	male	PUR	AMR
HG01248	female	PUR	AMR
HG01249	female	PUR	AMR
HG01250	male	CLM	AMR
HG01251	female	CLM	AMR
HG01252	male	CLM	AMR
HG01253	male	CLM	AMR
HG01254	female	CLM	AMR
HG01255	male	CLM	AMR
HG01256	male	CLM	AMR
HG01257	female	CLM	AMR
HG01258	male	CLM	AMR
HG01259	male	CLM	AMR
HG01260	female	CLM	AMR
HG01261	male	CLM	AMR
HG01269	female	CLM	AMR
HG01271	male	CLM	AMR
HG01272	female	CLM	AMR
HG01273	male	CLM	AMR
HG01274	male	CLM	AMR
HG01275	female	CLM	AMR
HG01276	female	CLM	AMR
HG01277	male	CLM	AMR
HG01278	female	CLM	AMR
HG01279	female	CLM	AMR
HG01280	male	CLM	AMR
HG01281	female	CLM	AMR
HG01284	female	CLM	AMR
HG01286	male	PUR	AMR
HG01301	female	PUR	AMR
HG01302	male	PUR	AMR
HG01303	female	PUR	AMR
HG01305	male	PUR	AMR
HG01308	male	PUR	AMR
HG01311	male	PUR	AMR
HG01312	female	PUR	AMR
HG01322	male	PUR	AMR
HG01323	female	PUR	AMR
HG01324	female	PUR	AMR
HG01325	male	PUR	AMR
HG01326	female	PUR	AMR
HG01327	male	PUR	AMR
HG01341	male	CLM	AMR
HG01342	female	CLM	AMR
HG01343	female	CLM	AMR
HG01344	male	CLM	AMR
HG01345	female	CLM	AMR
HG01346	female	CLM	AMR
HG01347	male	CLM	AMR
HG01348	female	CLM	AMR
HG01349	female	CLM	AMR
HG01350	male	CLM	AMR
HG01351	female	CLM	AMR
HG01352	female	CLM	AMR
HG01353	male	CLM	AMR
HG01354	female	CLM	AMR
HG01355	female	CLM	AMR
HG01356	male	CLM	AMR
HG01357	female	CLM	AMR
HG01358	male	CLM	AMR
HG01359	male	CLM	AMR
HG01360	female	CLM	AMR
HG01361	female	CLM	AMR
HG01362	male	CLM	AMR
HG01363	female	CLM	AMR
HG01364	female	CLM	AMR
HG01365	male	CLM	AMR
HG01366	female	CLM	AMR
HG01367	female	CLM	AMR
HG01369	female	CLM	AMR
HG01372	female	CLM	AMR
HG01374	male	CLM	AMR
HG01375	female	CLM	AMR
HG01376	female	CLM	AMR
HG01377	male	CLM	AMR
HG01378	female	CLM	AMR
HG01379	female	CLM	AMR
HG01383	male	CLM	AMR
HG01384	female	CLM	AMR
HG01385	female	CLM	AMR
HG01389	male	CLM	AMR
HG01390	female	CLM	AMR
HG01391	female	CLM	AMR
HG01392	male	PUR	AMR
HG01393	female	PUR	AMR
HG01394	female	PUR	AMR
HG01395	male	PUR	AMR
HG01396	female	PUR	AMR
HG01397	female	PUR	AMR
HG01398	male	PUR	AMR
HG01402	male	PUR	AMR
HG01403	female	PUR	AMR
HG01404	female	PUR	AMR
HG01405	male	PUR	AMR
HG01411	male	PUR	AMR
HG01412	male	PUR	AMR
HG01413	male	PUR	AMR
HG01414	female	PUR	AMR
HG01415	female	PUR	AMR
HG01431	male	CLM	AMR
HG01432	female	CLM	AMR
HG01433	male	CLM	AMR
HG01435	female	CLM	AMR
HG01437	male	CLM	AMR
HG01438	female	CLM	AMR
HG01439	female	CLM	AMR
HG01440	male	CLM	AMR
HG01441	female	CLM	AMR
HG01442	male	CLM	AMR
HG01443	male	CLM	AMR
HG01444	female	CLM	AMR
HG01445	male	CLM	AMR
HG01447	female	CLM	AMR
HG01452	male	CLM	AMR
HG01453	female	CLM	AMR
HG01454	female	CLM	AMR
HG01455	male	CLM	AMR
HG01456	female	CLM	AMR
HG01457	male	CLM	AMR
HG01459	female	CLM	AMR
HG01461	male	CLM	AMR
HG01462	female	CLM	AMR
HG01463	female	CLM	AMR
HG01464	male	CLM	AMR
HG01465	female	CLM	AMR
HG01466	female	CLM	AMR
HG01468	female	CLM	AMR
HG01471	female	CLM	AMR
HG01473	male	CLM	AMR
HG01474	female	CLM	AMR
HG01477	female	CLM	AMR
HG01479	male	CLM	AMR
HG01480	female	CLM	AMR
HG01481	female	CLM	AMR
HG01482	male	CLM	AMR
HG01483	female	CLM	AMR
HG01484	female	CLM	AMR
HG01485	male	CLM	AMR
HG01486	female	CLM	AMR
HG01487	female	CLM	AMR
HG01488	male	CLM	AMR
HG01489	female	CLM	AMR
HG01490	female	CLM	AMR
HG01491	male	CLM	AMR
HG01492	female	CLM	AMR
HG01493	female	CLM	AMR
HG01494	male	CLM	AMR
HG01495	female	CLM	AMR
HG01496	female	CLM	AMR
HG01497	male	CLM	AMR
HG01498	female	CLM	AMR
HG01499	male	CLM	AMR
HG01550	male	CLM	AMR
HG01551	female	CLM	AMR
HG01552	male	CLM	AMR
HG01556	male	CLM	AMR
HG01565	male	PEL	AMR
HG01566	female	PEL	AMR
HG01567	female	PEL	AMR
HG01571	male	PEL	AMR
HG01572	female	PEL	AMR
HG01573	female	PEL	AMR
HG01577	male	PEL	AMR
HG01578	female	PEL	AMR
HG01579	male	PEL	AMR
HG01892	male	PEL	AMR
HG01893	female	PEL	AMR
HG01898	female	PEL	AMR
HG01917	male	PEL	AMR
HG01918	female	PEL	AMR
HG01919	female	PEL	AMR
HG01920	male	PEL	AMR
HG01921	female	PEL	AMR
HG01922	female	PEL	AMR
HG01923	male	PEL	AMR
HG01924	female	PEL	AMR
HG01925	female	PEL	AMR
HG01926	male	PEL	AMR
HG01927	female	PEL	AMR
HG01928	male	PEL	AMR
HG01932	male	PEL	AMR
HG01933	female	PEL	AMR
HG01934	male	PEL	AMR
HG01935	male	PEL	AMR
HG01936	female	PEL	AMR
HG01937	male	PEL	AMR
HG01938	male	PEL	AMR
HG01939	female	PEL	AMR
HG01940	female	PEL	AMR
HG01941	male	PEL	AMR
HG01942	female	PEL	AMR
HG01943	male	PEL	AMR
HG01944	male	PEL	AMR
HG01945	female	PEL	AMR
HG01946	male	PEL	AMR
HG01947	male	PEL	AMR
HG01948	female	PEL	AMR
HG01949	female	PEL	AMR
HG01950	male	PEL	AMR
HG01951	female	PEL	AMR
HG01952	male	PEL	AMR
HG01953	male	PEL	AMR
HG01954	female	PEL	AMR
HG01955	female	PEL	AMR
HG01961	male	PEL	AMR
HG01965	female	PEL	AMR
HG01967	male	PEL	AMR
HG01968	female	PEL	AMR
HG01969	female	PEL	AMR
HG01970	male	PEL	AMR
HG01971	female	PEL	AMR
HG01972	female	PEL	AMR
HG01973	female	PEL	AMR
HG01974	male	PEL	AMR
HG01975	female	PEL	AMR
HG01976	female	PEL	AMR
HG01977	male	PEL	AMR
HG01978	female	PEL	AMR
HG01979	male	PEL	AMR
HG01980	female	PEL	AMR
HG01981	female	PEL	AMR
HG01982	male	PEL	AMR
HG01984	male	PEL	AMR
HG01991	male	PEL	AMR
HG01992	female	PEL	AMR
HG01993	female	PEL	AMR
HG01995	female	PEL	AMR
HG01997	female	PEL	AMR
HG01998	male	PEL	AMR
HG02002	male	PEL	AMR
HG02003	female	PEL	AMR
HG02004	female	PEL	AMR
HG02006	female	PEL	AMR
HG02008	male	PEL	AMR
HG02089	female	PEL	AMR
HG02090	male	PEL	AMR
HG02091	female	PEL	AMR
HG02102	female	PEL	AMR
HG02104	male	PEL	AMR
HG02105	female	PEL	AMR
HG02106	female	PEL	AMR
HG02146	male	PEL	AMR
HG02147	female	PEL	AMR
HG02148	female	PEL	AMR
HG02150	male	PEL	AMR
HG02252	female	PEL	AMR
HG02253	male	PEL	AMR
HG02254	female	PEL	AMR
HG02259	male	PEL	AMR
HG02260	female	PEL	AMR
HG02261	male	PEL	AMR
HG02262	male	PEL	AMR
HG02265	male	PEL	AMR
HG02266	female	PEL	AMR
HG02267	female	PEL	AMR
HG02271	male	PEL	AMR
HG02272	female	PEL	AMR
HG02273	female	PEL	AMR
HG02274	male	PEL	AMR
HG02275	female	PEL	AMR
HG02276	female	PEL	AMR
HG02277	male	PEL	AMR
HG02278	female	PEL	AMR
HG02279	male	PEL	AMR
HG02285	male	PEL	AMR
HG02286	female	PEL	AMR
HG02287	female	PEL	AMR
HG02288	male	PEL	AMR
HG02291	male	PEL	AMR
HG02292	female	PEL	AMR
HG02293	female	PEL	AMR
HG02298	female	PEL	AMR
HG02299	male	PEL	AMR
HG02300	male	PEL	AMR
HG02301	female	PEL	AMR
HG02302	male	PEL	AMR
HG02303	female	PEL	AMR
HG02304	male	PEL	AMR
HG02312	female	PEL	AMR
HG02344	male	PEL	AMR
HG02345	female	PEL	AMR
HG02347	male	PEL	AMR
HG02348	female	PEL	AMR
HG02415	female	PEL	AMR
HG02425	female	PEL	AMR
NA19648	female	MXL	AMR
NA19649	male	MXL	AMR
NA19650	male	MXL	AMR
NA19651	female	MXL	AMR
NA19652	male	MXL	AMR
NA19653	female	MXL	AMR
NA19654	female	MXL	AMR
NA19655	male	MXL	AMR
NA19656	female	MXL	AMR
NA19657	female	MXL	AMR
NA19658	male	MXL	AMR
NA19659	female	MXL	AMR
NA19661	male	MXL	AMR
NA19662	female	MXL	AMR
NA19663	female	MXL	AMR
NA19664	male	MXL	AMR
NA19665	female	MXL	AMR
NA19669	female	MXL	AMR
NA19670	male	MXL	AMR
NA19671	female	MXL	AMR
NA19672	female	MXL	AMR
NA19674	male	MXL	AMR
NA19676	male	MXL	AMR
NA19677	female	MXL	AMR
NA19678	female	MXL	AMR
NA19679	male	MXL	AMR
NA19680	female	MXL	AMR
NA19681	female	MXL	AMR
NA19682	male	MXL	AMR
NA19683	female	MXL	AMR
NA19684	female	MXL	AMR
NA19686	female	MXL	AMR
NA19716	female	MXL	AMR
NA19717	male	MXL	AMR
NA19718	female	MXL	AMR
NA19719	female	MXL	AMR
NA19720	male	MXL	AMR
NA19721	female	MXL	AMR
NA19722	female	MXL	AMR
NA19723	male	MXL	AMR
NA19724	male	MXL	AMR
NA19725	female	MXL	AMR
NA19726	male	MXL	AMR
NA19727	male	MXL	AMR
NA19728	female	MXL	AMR
NA19729	male	MXL	AMR
NA19730	female	MXL	AMR
NA19731	female	MXL	AMR
NA19732	male	MXL	AMR
NA19733	female	MXL	AMR
NA19734	female	MXL	AMR
NA19735	male	MXL	AMR
NA19737	female	MXL	AMR
NA19738	male	MXL	AMR
NA19740	female	MXL	AMR
NA19741	male	MXL	AMR
NA19742	male	MXL	AMR
NA19746	female	MXL	AMR
NA19747	male	MXL	AMR
NA19748	female	MXL	AMR
NA19749	female	MXL	AMR
NA19750	male	MXL	AMR
NA19751	male	MXL	AMR
NA19752	female	MXL	AMR
NA19753	male	MXL	AMR
NA19754	female	MXL	AMR
NA19755	female	MXL	AMR
NA19756	male	MXL	AMR
NA19757	male	MXL	AMR
NA19758	female	MXL	AMR
NA19759	male	MXL	AMR
NA19760	female	MXL	AMR
NA19761	female	MXL	AMR
NA19762	male	MXL	AMR
NA19763	female	MXL	AMR
NA19764	female	MXL	AMR
NA19766	female	MXL	AMR
NA19770	female	MXL	AMR
NA19771	male	MXL	AMR
NA19772	male	MXL	AMR
NA19773	female	MXL	AMR
NA19774	male	MXL	AMR
NA19775	female	MXL	AMR
NA19776	female	MXL	AMR
NA19777	male	MXL	AMR
NA19778	male	MXL	AMR
NA19779	female	MXL	AMR
NA19780	male	MXL	AMR
NA19781	female	MXL	AMR
NA19782	female	MXL	AMR
NA19783	male	MXL	AMR
NA19784	male	MXL	AMR
NA19785	female	MXL	AMR
NA19786	male	MXL	AMR
NA19787	male	MXL	AMR
NA19788	female	MXL	AMR
NA19789	male	MXL	AMR
NA19790	female	MXL	AMR
NA19792	male	MXL	AMR
NA19794	female	MXL	AMR
NA19795	male	MXL	AMR
NA19796	male	MXL	AMR
NA19797	female	MXL	AMR
NA19798	male	MXL	AMR
