Individual ID	Gender	Population	SuperPop
HG00567	male	CHS	EAS
HG00577	male	CHS	EAS
HG00578	female	CHS	EAS
HG00579	female	CHS	EAS
HG00580	male	CHS	EAS
HG00581	female	CHS	EAS
HG00582	female	CHS	EAS
HG00583	male	CHS	EAS
HG00584	female	CHS	EAS
HG00585	female	CHS	EAS
HG00589	male	CHS	EAS
HG00590	female	CHS	EAS
HG00591	male	CHS	EAS
HG00592	male	CHS	EAS
HG00593	female	CHS	EAS
HG00594	male	CHS	EAS
HG00595	male	CHS	EAS
HG00596	female	CHS	EAS
HG00597	female	CHS	EAS
HG00598	male	CHS	EAS
HG00599	female	CHS	EAS
HG00600	female	CHS	EAS
HG00607	male	CHS	EAS
HG00608	female	CHS	EAS
HG00609	male	CHS	EAS
HG00610	male	CHS	EAS
HG00611	female	CHS	EAS
HG00612	female	CHS	EAS
HG00613	male	CHS	EAS
HG00614	female	CHS	EAS
HG00615	female	CHS	EAS
HG00619	male	CHS	EAS
HG00620	female	CHS	EAS
HG00621	male	CHS	EAS
HG00622	male	CHS	EAS
HG00623	female	CHS	EAS
HG00624	male	CHS	EAS
HG00625	male	CHS	EAS
HG00626	female	CHS	EAS
HG00627	male	CHS	EAS
HG00628	male	CHS	EAS
HG00629	female	CHS	EAS
HG00630	male	CHS	EAS
HG00631	male	CHS	EAS
HG00632	female	CHS	EAS
HG00633	male	CHS	EAS
HG00634	male	CHS	EAS
HG00636	male	CHS	EAS
HG00650	male	CHS	EAS
HG00651	female	CHS	EAS
HG00652	female	CHS	EAS
HG00653	male	CHS	EAS
HG00654	female	CHS	EAS
HG00655	female	CHS	EAS
HG00656	male	CHS	EAS
HG00657	female	CHS	EAS
HG00658	male	CHS	EAS
HG00662	male	CHS	EAS
HG00663	female	CHS	EAS
HG00664	male	CHS	EAS
HG00671	male	CHS	EAS
HG00672	female	CHS	EAS
HG00673	male	CHS	EAS
HG00674	male	CHS	EAS
HG00675	female	CHS	EAS
HG00676	male	CHS	EAS
HG00683	male	CHS	EAS
HG00684	female	CHS	EAS
HG00685	male	CHS	EAS
HG00689	male	CHS	EAS
HG00690	female	CHS	EAS
HG00691	male	CHS	EAS
HG00692	male	CHS	EAS
HG00693	female	CHS	EAS
HG00694	male	CHS	EAS
HG00698	male	CHS	EAS
HG00699	female	CHS	EAS
HG00700	female	CHS	EAS
HG00701	male	CHS	EAS
HG00703	male	CHS	EAS
HG00704	male	CHS	EAS
HG00705	female	CHS	EAS
HG00706	male	CHS	EAS
HG00707	male	CHS	EAS
HG00708	female	CHS	EAS
HG00709	male	CHS	EAS
HG00716	male	CHS	EAS
HG00717	female	CHS	EAS
HG00718	male	CHS	EAS
HG00728	male	CHS	EAS
HG00729	female	CHS	EAS
HG00730	female	CHS	EAS
HG00759	female	CDX	EAS
HG00766	female	CDX	EAS
HG00844	male	CDX	EAS
HG00851	female	CDX	EAS
HG00864	female	CDX	EAS
HG00866	male	CDX	EAS
HG00867	female	CDX	EAS
HG00879	female	CDX	EAS
HG00881	male	CDX	EAS
HG00956	female	CDX	EAS
HG00978	female	CDX	EAS
HG00982	male	CDX	EAS
HG00983	male	CDX	EAS
HG01028	male	CDX	EAS
HG01029	female	CDX	EAS
HG01031	male	CDX	EAS
HG01046	female	CDX	EAS
HG01595	female	KHV	EAS
HG01596	male	KHV	EAS
HG01597	female	KHV	EAS
HG01598	female	KHV	EAS
HG01599	female	KHV	EAS
HG01600	female	KHV	EAS
HG01794	female	CDX	EAS
HG01795	female	CDX	EAS
HG01796	female	CDX	EAS
HG01797	female	CDX	EAS
HG01798	female	CDX	EAS
HG01799	female	CDX	EAS
HG01800	female	CDX	EAS
HG01801	female	CDX	EAS
HG01802	female	CDX	EAS
HG01804	female	CDX	EAS
HG01805	female	CDX	EAS
HG01806	female	CDX	EAS
HG01807	female	CDX	EAS
HG01808	female	CDX	EAS
HG01809	female	CDX	EAS
HG01810	male	CDX	EAS
HG01811	male	CDX	EAS
HG01812	female	CDX	EAS
HG01813	female	CDX	EAS
HG01815	female	CDX	EAS
HG01816	male	CDX	EAS
HG01817	female	CDX	EAS
HG01840	male	KHV	EAS
HG01841	female	KHV	EAS
HG01842	male	KHV	EAS
HG01843	female	KHV	EAS
HG01844	male	KHV	EAS
HG01845	female	KHV	EAS
HG01846	male	KHV	EAS
HG01847	female	KHV	EAS
HG01848	female	KHV	EAS
HG01849	male	KHV	EAS
HG01850	female	KHV	EAS
HG01851	female	KHV	EAS
HG01852	male	KHV	EAS
HG01853	female	KHV	EAS
HG01855	female	KHV	EAS
HG01857	female	KHV	EAS
HG01858	female	KHV	EAS
HG01859	female	KHV	EAS
HG01860	male	KHV	EAS
HG01861	male	KHV	EAS
HG01862	female	KHV	EAS
HG01863	female	KHV	EAS
HG01864	male	KHV	EAS
HG01865	male	KHV	EAS
HG01866	male	KHV	EAS
HG01867	male	KHV	EAS
HG01868	female	KHV	EAS
HG01869	female	KHV	EAS
HG01870	female	KHV	EAS
HG01871	female	KHV	EAS
HG01872	male	KHV	EAS
HG01873	male	KHV	EAS
HG01874	female	KHV	EAS
HG01878	female	KHV	EAS
HG02015	male	KHV	EAS
HG02016	female	KHV	EAS
HG02017	male	KHV	EAS
HG02018	female	KHV	EAS
HG02019	female	KHV	EAS
HG02020	male	KHV	EAS
HG02021	male	KHV	EAS
HG02023	male	KHV	EAS
HG02025	female	KHV	EAS
HG02026	male	KHV	EAS
HG02027	male	KHV	EAS
HG02028	female	KHV	EAS
HG02029	male	KHV	EAS
HG02030	male	KHV	EAS
HG02031	female	KHV	EAS
HG02032	male	KHV	EAS
HG02035	male	KHV	EAS
HG02040	male	KHV	EAS
HG02047	male	KHV	EAS
HG02048	female	KHV	EAS
HG02049	female	KHV	EAS
HG02050	male	KHV	EAS
HG02056	male	KHV	EAS
HG02057	female	KHV	EAS
HG02058	male	KHV	EAS
HG02059	female	KHV	EAS
HG02060	female	KHV	EAS
HG02061	male	KHV	EAS
HG02064	male	KHV	EAS
HG02067	male	KHV	EAS
HG02068	female	KHV	EAS
HG02069	female	KHV	EAS
HG02070	male	KHV	EAS
HG02071	male	KHV	EAS
HG02072	female	KHV	EAS
HG02073	male	KHV	EAS
HG02074	male	KHV	EAS
HG02075	female	KHV	EAS
HG02076	male	KHV	EAS
HG02077	male	KHV	EAS
HG02078	female	KHV	EAS
HG02079	male	KHV	EAS
HG02080	female	KHV	EAS
HG02081	female	KHV	EAS
HG02082	male	KHV	EAS
HG02083	male	KHV	EAS
HG02084	female	KHV	EAS
HG02085	male	KHV	EAS
HG02086	female	KHV	EAS
HG02087	female	KHV	EAS
HG02088	male	KHV	EAS
HG02113	female	KHV	EAS
HG02116	male	KHV	EAS
HG02120	male	KHV	EAS
HG02121	female	KHV	EAS
HG02122	male	KHV	EAS
HG02126	female	KHV	EAS
HG02127	female	KHV	EAS
HG02128	male	KHV	EAS
HG02129	male	KHV	EAS
HG02130	female	KHV	EAS
HG02131	male	KHV	EAS
HG02132	male	KHV	EAS
HG02133	female	KHV	EAS
HG02134	male	KHV	EAS
HG02135	male	KHV	EAS
HG02136	female	KHV	EAS
HG02137	male	KHV	EAS
HG02138	male	KHV	EAS
HG02139	female	KHV	EAS
HG02140	female	KHV	EAS
HG02141	male	KHV	EAS
HG02142	female	KHV	EAS
HG02151	female	CDX	EAS
HG02152	female	CDX	EAS
HG02153	female	CDX	EAS
HG02154	female	CDX	EAS
HG02155	female	CDX	EAS
HG02156	female	CDX	EAS
HG02164	female	CDX	EAS
HG02165	female	CDX	EAS
HG02166	female	CDX	EAS
HG02168	female	CDX	EAS
HG02169	female	CDX	EAS
HG02170	female	CDX	EAS
HG02173	female	CDX	EAS
HG02176	female	CDX	EAS
HG02178	female	CDX	EAS
HG02179	female	CDX	EAS
HG02180	female	CDX	EAS
HG02181	female	CDX	EAS
HG02182	female	CDX	EAS
HG02184	female	CDX	EAS
HG02185	female	CDX	EAS
HG02186	female	CDX	EAS
HG02187	female	CDX	EAS
HG02188	female	CDX	EAS
HG02189	female	CDX	EAS
HG02190	female	CDX	EAS
HG02250	male	CDX	EAS
HG02351	male	CDX	EAS
HG02353	male	CDX	EAS
HG02355	male	CDX	EAS
HG02356	male	CDX	EAS
HG02358	male	CDX	EAS
HG02360	male	CDX	EAS
HG02364	male	CDX	EAS
HG02367	male	CDX	EAS
HG02371	male	CDX	EAS
HG02373	male	CDX	EAS
HG02374	male	CDX	EAS
HG02375	male	CDX	EAS
HG02379	male	CDX	EAS
HG02380	male	CDX	EAS
HG02382	male	CDX	EAS
HG02383	male	CDX	EAS
HG02384	male	CDX	EAS
HG02385	male	CDX	EAS
HG02386	male	CDX	EAS
HG02389	male	CDX	EAS
HG02390	male	CDX	EAS
HG02391	male	CDX	EAS
HG02392	male	CDX	EAS
HG02394	male	CDX	EAS
HG02395	male	CDX	EAS
HG02396	male	CDX	EAS
HG02397	male	CDX	EAS
HG02398	male	CDX	EAS
HG02399	male	CDX	EAS
HG02401	male	CDX	EAS
HG02402	male	CDX	EAS
HG02405	male	CDX	EAS
HG02406	male	CDX	EAS
HG02407	male	CDX	EAS
HG02408	male	CDX	EAS
HG02409	male	CDX	EAS
HG02410	male	CDX	EAS
HG02512	male	KHV	EAS
HG02513	female	KHV	EAS
HG02514	male	KHV	EAS
HG02521	male	KHV	EAS
HG02522	female	KHV	EAS
HG02523	female	KHV	EAS
HG02524	male	KHV	EAS
HG02525	female	KHV	EAS
HG02526	female	KHV	EAS
NA18525	female	CHB	EAS
NA18526	female	CHB	EAS
NA18527	female	CHB	EAS
NA18528	female	CHB	EAS
NA18530	male	CHB	EAS
NA18531	female	CHB	EAS
NA18532	female	CHB	EAS
NA18533	female	CHB	EAS
NA18534	male	CHB	EAS
NA18535	female	CHB	EAS
NA18536	male	CHB	EAS
NA18537	female	CHB	EAS
NA18538	female	CHB	EAS
NA18539	female	CHB	EAS
NA18541	female	CHB	EAS
NA18542	female	CHB	EAS
NA18543	male	CHB	EAS
NA18544	male	CHB	EAS
NA18545	female	CHB	EAS
NA18546	male	CHB	EAS
NA18547	female	CHB	EAS
NA18548	male	CHB	EAS
NA18549	male	CHB	EAS
NA18550	female	CHB	EAS
NA18552	female	CHB	EAS
NA18553	female	CHB	EAS
NA18555	female	CHB	EAS
NA18557	male	CHB	EAS
NA18558	male	CHB	EAS
NA18559	male	CHB	EAS
NA18560	female	CHB	EAS
NA18561	male	CHB	EAS
NA18562	male	CHB	EAS
NA18563	male	CHB	EAS
NA18564	female	CHB	EAS
NA18565	female	CHB	EAS
NA18566	female	CHB	EAS
NA18567	female	CHB	EAS
NA18570	female	CHB	EAS
NA18571	female	CHB	EAS
NA18572	male	CHB	EAS
NA18573	female	CHB	EAS
NA18574	female	CHB	EAS
NA18576	female	CHB	EAS
NA18577	female	CHB	EAS
NA18579	female	CHB	EAS
NA18582	female	CHB	EAS
NA18591	female	CHB	EAS
NA18592	female	CHB	EAS
NA18593	female	CHB	EAS
NA18595	female	CHB	EAS
NA18596	female	CHB	EAS
NA18597	female	CHB	EAS
NA18599	female	CHB	EAS
NA18602	female	CHB	EAS
NA18603	male	CHB	EAS
NA18605	male	CHB	EAS
NA18606	male	CHB	EAS
NA18608	male	CHB	EAS
NA18609	male	CHB	EAS
NA18610	female	CHB	EAS
NA18611	male	CHB	EAS
NA18612	male	CHB	EAS
NA18613	male	CHB	EAS
NA18614	female	CHB	EAS
NA18615	female	CHB	EAS
NA18616	female	CHB	EAS
NA18617	female	CHB	EAS
NA18618	female	CHB	EAS
NA18619	female	CHB	EAS
NA18620	male	CHB	EAS
NA18621	male	CHB	EAS
NA18622	male	CHB	EAS
NA18623	male	CHB	EAS
NA18624	male	CHB	EAS
NA18625	female	CHB	EAS
NA18626	female	CHB	EAS
NA18627	female	CHB	EAS
NA18628	female	CHB	EAS
NA18629	male	CHB	EAS
NA18630	female	CHB	EAS
NA18631	female	CHB	EAS
NA18632	male	CHB	EAS
NA18633	male	CHB	EAS
NA18634	female	CHB	EAS
NA18635	male	CHB	EAS
NA18636	male	CHB	EAS
NA18637	male	CHB	EAS
NA18638	male	CHB	EAS
NA18639	male	CHB	EAS
NA18640	female	CHB	EAS
NA18641	female	CHB	EAS
NA18642	female	CHB	EAS
NA18643	male	CHB	EAS
NA18644	female	CHB	EAS
NA18645	male	CHB	EAS
NA18646	female	CHB	EAS
NA18647	male	CHB	EAS
NA18648	male	CHB	EAS
NA18740	male	CHB	EAS
NA18745	male	CHB	EAS
NA18747	male	CHB	EAS
NA18748	male	CHB	EAS
NA18749	male	CHB	EAS
NA18757	male	CHB	EAS
NA18791	male	CHB	EAS
NA18794	male	CHB	EAS
NA18795	female	CHB	EAS
NA18939	female	JPT	EAS
NA18940	male	JPT	EAS
NA18941	female	JPT	EAS
NA18942	female	JPT	EAS
NA18943	male	JPT	EAS
NA18944	male	JPT	EAS
NA18945	male	JPT	EAS
NA18946	female	JPT	EAS
NA18947	female	JPT	EAS
NA18948	male	JPT	EAS
NA18949	female	JPT	EAS
NA18950	female	JPT	EAS
NA18951	female	JPT	EAS
NA18952	male	JPT	EAS
NA18953	male	JPT	EAS
NA18954	female	JPT	EAS
NA18955	male	JPT	EAS
NA18956	female	JPT	EAS
NA18957	female	JPT	EAS
NA18959	male	JPT	EAS
NA18960	male	JPT	EAS
NA18961	male	JPT	EAS
NA18962	male	JPT	EAS
NA18963	female	JPT	EAS
NA18964	female	JPT	EAS
NA18965	male	JPT	EAS
NA18966	male	JPT	EAS
NA18967	male	JPT	EAS
NA18968	female	JPT	EAS
NA18969	female	JPT	EAS
NA18970	male	JPT	EAS
NA18971	male	JPT	EAS
NA18972	female	JPT	EAS
NA18973	female	JPT	EAS
NA18974	male	JPT	EAS
NA18975	female	JPT	EAS
NA18976	female	JPT	EAS
NA18977	male	JPT	EAS
NA18978	female	JPT	EAS
NA18979	female	JPT	EAS
NA18980	female	JPT	EAS
NA18981	female	JPT	EAS
NA18982	male	JPT	EAS
NA18983	male	JPT	EAS
NA18984	male	JPT	EAS
NA18985	male	JPT	EAS
NA18986	male	JPT	EAS
NA18987	female	JPT	EAS
NA18988	male	JPT	EAS
NA18989	male	JPT	EAS
NA18990	male	JPT	EAS
NA18991	female	JPT	EAS
NA18992	female	JPT	EAS
NA18993	female	JPT	EAS
NA18994	male	JPT	EAS
NA18995	male	JPT	EAS
NA18997	female	JPT	EAS
NA18998	female	JPT	EAS
NA18999	female	JPT	EAS
NA19000	male	JPT	EAS
NA19001	female	JPT	EAS
NA19002	female	JPT	EAS
NA19003	female	JPT	EAS
NA19004	male	JPT	EAS
NA19005	male	JPT	EAS
NA19006	male	JPT	EAS
NA19007	male	JPT	EAS
NA19009	male	JPT	EAS
NA19010	female	JPT	EAS
NA19011	female	JPT	EAS
NA19012	male	JPT	EAS
NA19054	female	JPT	EAS
NA19055	male	JPT	EAS
NA19056	male	JPT	EAS
NA19057	female	JPT	EAS
NA19058	male	JPT	EAS
NA19059	female	JPT	EAS
NA19060	male	JPT	EAS
NA19062	male	JPT	EAS
NA19063	male	JPT	EAS
NA19064	female	JPT	EAS
NA19065	female	JPT	EAS
NA19066	male	JPT	EAS
NA19067	male	JPT	EAS
NA19068	male	JPT	EAS
NA19070	male	JPT	EAS
NA19072	male	JPT	EAS
NA19074	female	JPT	EAS
NA19075	male	JPT	EAS
NA19076	male	JPT	EAS
NA19077	female	JPT	EAS
NA19078	female	JPT	EAS
NA19079	male	JPT	EAS
NA19080	female	JPT	EAS
NA19081	female	JPT	EAS
NA19082	male	JPT	EAS
NA19083	male	JPT	EAS
NA19084	female	JPT	EAS
NA19085	male	JPT	EAS
NA19086	male	JPT	EAS
NA19087	female	JPT	EAS
NA19088	male	JPT	EAS
NA19089	male	JPT	EAS
NA19090	female	JPT	EAS
NA19091	male	JPT	EAS
